Age,Workclass,Education,Education-num,Marital_status,Occupation,Relationship,Race,Sex,Hours_per_week,Native_country,Salary
"<26,40>",State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,"<21,40>",United-States,<=50K
"<41,65>",Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,"<0,20>",United-States,<=50K
"<26,40>",Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,"<21,40>",United-States,<=50K
"<41,65>",Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,"<21,40>",United-States,<=50K
"<26,40>",Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,"<21,40>",Cuba,<=50K
"<26,40>",Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,"<21,40>",United-States,<=50K
"<41,65>",Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,"<0,20>",Jamaica,<=50K
"<41,65>",Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,"<41,60>",United-States,>50K
"<26,40>",Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,"<41,60>",United-States,>50K
"<41,65>",Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,"<21,40>",United-States,>50K
"<26,40>",Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,"<61,80>",United-States,>50K
"<26,40>",State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,"<21,40>",India,>50K
"<17,25>",Private,10th,6,Never-married,Other-service,Own-child,White,Female,"<21,40>",United-States,<=50K
"<26,40>",Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,"<41,60>",United-States,<=50K
"<26,40>",Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,"<21,40>",United-States,>50K
"<26,40>",Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,"<41,60>",Mexico,<=50K
"<17,25>",Private,11th,7,Never-married,Sales,Own-child,White,Female,"<0,20>",United-States,<=50K
"<26,40>",Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,"<41,60>",United-States,<=50K
"<41,65>",Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,"<41,60>",United-States,>50K
"<26,40>",Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,"<41,60>",United-States,>50K
"<41,65>",Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,"<0,20>",United-States,<=50K
"<26,40>",Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,"<21,40>",United-States,<=50K
"<41,65>",Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,"<21,40>",United-States,<=50K
"<41,65>",Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,"<21,40>",United-States,<=50K
"<41,65>",Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,"<21,40>",United-States,>50K
"<17,25>",Private,11th,7,Never-married,Other-service,Own-child,White,Male,"<0,20>",United-States,<=50K
"<41,65>",Private,Some-college,10,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,"<41,60>",South,>50K
"<26,40>",Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,"<61,80>",United-States,<=50K
"<41,65>",Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,"<21,40>",United-States,<=50K
"<17,25>",Private,9th,5,Never-married,Other-service,Own-child,White,Male,"<21,40>",United-States,<=50K
"<17,25>",Private,5th-6th,3,Never-married,Other-service,Other-relative,White,Male,"<41,60>",Mexico,<=50K
"<41,65>",Private,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,"<21,40>",United-States,<=50K
"<17,25>",Private,11th,7,Never-married,Other-service,Own-child,White,Male,"<0,20>",United-States,<=50K
"<41,65>",Private,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,"<21,40>",Puerto-Rico,<=50K
"<17,25>",Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,"<0,20>",United-States,<=50K
"<17,25>",Private,11th,7,Never-married,Other-service,Own-child,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,"<21,40>",United-States,>50K
"<41,65>",Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Private,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,"<41,60>",United-States,<=50K
"<41,65>",Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,"<21,40>",United-States,<=50K
"<17,25>",Private,11th,7,Never-married,Other-service,Own-child,White,Female,"<0,20>",United-States,<=50K
"<41,65>",Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,"<21,40>",United-States,<=50K
"<17,25>",Private,9th,5,Never-married,Other-service,Not-in-family,White,Male,"<0,20>",United-States,<=50K
"<41,65>",Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,"<21,40>",United-States,>50K
"<41,65>",Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,"<21,40>",United-States,<=50K
"<41,65>",Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,"<21,40>",United-States,<=50K
"<41,65>",State-gov,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,"<41,60>",United-States,<=50K
"<17,25>",Private,11th,7,Never-married,Sales,Own-child,White,Male,"<0,20>",United-States,<=50K
"<17,25>",Private,10th,6,Never-married,Other-service,Own-child,White,Female,"<21,40>",United-States,<=50K
"<41,65>",Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,"<41,60>",Honduras,>50K
"<41,65>",Federal-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,"<41,60>",United-States,>50K
"<41,65>",Self-emp-inc,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,"<41,60>",United-States,<=50K
"<41,65>",Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,"<21,40>",United-States,>50K
"<41,65>",Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,"<21,40>",Mexico,<=50K
"<26,40>",Private,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,"<21,40>",Puerto-Rico,<=50K
"<41,65>",Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,"<41,60>",United-States,<=50K
"<26,40>",Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Private,7th-8th,4,Married-spouse-absent,Other-service,Not-in-family,White,Male,"<21,40>",United-States,<=50K
"<41,65>",Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,"<21,40>",United-States,<=50K
"<41,65>",Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,"<41,60>",United-States,>50K
"<26,40>",Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,"<41,60>",United-States,<=50K
"<26,40>",Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,"<21,40>",United-States,<=50K
"<41,65>",Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,"<21,40>",United-States,>50K
"<41,65>",Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,"<41,60>",United-States,>50K
"<17,25>",Private,11th,7,Never-married,Other-service,Own-child,White,Female,"<0,20>",United-States,<=50K
"<17,25>",Self-emp-not-inc,11th,7,Never-married,Farming-fishing,Own-child,White,Male,"<0,20>",United-States,<=50K
"<26,40>",Private,Bachelors,13,Separated,Sales,Own-child,Black,Female,"<21,40>",United-States,<=50K
"<26,40>",Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,"<61,80>",United-States,>50K
"<17,25>",Private,12th,8,Never-married,Other-service,Own-child,White,Male,"<0,20>",United-States,<=50K
"<66,90>",Private,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,"<0,20>",United-States,<=50K
"<26,40>",Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,"<21,40>",Mexico,<=50K
"<26,40>",Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,"<21,40>",United-States,<=50K
"<66,90>",Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,"<0,20>",United-States,<=50K
"<17,25>",Private,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,"<0,20>",United-States,<=50K
"<26,40>",Local-gov,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,"<21,40>",United-States,<=50K
"<17,25>",Private,11th,7,Never-married,Sales,Own-child,White,Female,"<0,20>",United-States,<=50K
"<41,65>",Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,"<21,40>",Cuba,<=50K
"<41,65>",Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,"<21,40>",United-States,<=50K
"<41,65>",Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,"<41,60>",United-States,<=50K
"<41,65>",Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,"<21,40>",United-States,>50K
"<41,65>",Private,HS-grad,9,Divorced,Sales,Own-child,White,Female,"<21,40>",United-States,<=50K
"<41,65>",Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,"<21,40>",United-States,>50K
"<26,40>",Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,"<41,60>",United-States,<=50K
"<26,40>",Private,9th,5,Never-married,Sales,Not-in-family,White,Male,"<21,40>",United-States,<=50K
"<41,65>",Federal-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,"<41,60>",United-States,>50K
"<41,65>",Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,"<21,40>",United-States,<=50K
"<26,40>",Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,"<21,40>",United-States,<=50K
"<26,40>",Private,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,"<21,40>",United-States,<=50K
"<26,40>",Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,"<21,40>",United-States,>50K
"<26,40>",Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,"<41,60>",United-States,<=50K
"<41,65>",Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,"<41,60>",United-States,>50K
"<26,40>",Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,"<41,60>",United-States,>50K
"<41,65>",Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,"<21,40>",England,<=50K
"<26,40>",Federal-gov,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,"<21,40>",United-States,<=50K
"<66,90>",Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,"<21,40>",United-States,>50K
"<41,65>",Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,"<41,60>",United-States,>50K
"<41,65>",Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,"<41,60>",United-States,<=50K
"<17,25>",Private,10th,6,Never-married,Farming-fishing,Own-child,White,Male,"<0,20>",United-States,<=50K
"<26,40>",Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,"<21,40>",United-States,>50K
"<17,25>",Private,11th,7,Never-married,Sales,Own-child,White,Male,"<0,20>",United-States,<=50K
"<26,40>",Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Local-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,"<21,40>",United-States,<=50K
"<41,65>",Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,"<21,40>",United-States,<=50K
"<17,25>",Private,11th,7,Never-married,Sales,Own-child,White,Male,"<21,40>",United-States,<=50K
"<26,40>",Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,"<21,40>",United-States,>50K
"<41,65>",Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,"<41,60>",Canada,>50K
"<26,40>",Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,"<21,40>",United-States,<=50K
"<26,40>",Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,"<21,40>",United-States,<=50K
